Code,Nama Barang,Merk,Jumlah,Total,Status,Sumber,Lokasi,Lantai,Satuan,Foto Real,Keterangan
,AC Split,,1,1,Baik,,R. 215,2,Unit,,
,Rak Krisbow Besi Putih,,1,1,Baik,,R. 215,2,Unit,,
,,,,,,,,,,,
,AC Split,,1,1,Baik,,R. 216,2,Unit,,
,Kursi Kantor,,1,1,Baik,,R. 216,2,Unit,,
,Meja dan Rak (sambung),,1,1,Baik,,R. 216,2,Unit,,
,Rak Susun Putih,,1,2,Baik,,R. 216,2,Unit,,
,Rak Susun Putih,,1,,Baik,,R. 216,2,Unit,,
,Kursi Kayu Coklat,,1,2,Baik,,R. 216,2,Unit,,
,Kursi Kayu Coklat,,1,,Baik,,R. 216,2,Unit,,
,Kursi Kantor Futura,,1,1,Baik,,R. 216,2,Unit,,
,Cermin Besar,,1,1,Baik,,R. 216,2,Unit,,
,,,,,,,,,,,
,AC Cassete,,1,1,Baik,,R. 217,2,Unit,,
,Meja Panjang Coklat,,1,4,Baik,,R. 217,2,Unit,,
,Meja Panjang Coklat,,1,,Baik,,R. 217,2,Unit,,
,Meja Panjang Coklat,,1,,Baik,,R. 217,2,Unit,,
,Meja Panjang Coklat,,1,,Baik,,R. 217,2,Unit,,
,Meja Panjang Hitam,,1,1,Baik,,R. 217,2,Unit,,
,Kursi Kantor Hitam Sandaran Tangan,,1,2,Baik,,R. 217,2,Unit,,
,Kursi Kantor Hitam Sandaran Tangan,,1,,Baik,,R. 217,2,Unit,,
,Kursi Susun Futura Hitam,,1,12,Baik,,R. 217,2,Unit,,
,Kursi Susun Futura Hitam,,1,,Baik,,R. 217,2,Unit,,
,Kursi Susun Futura Hitam,,1,,Baik,,R. 217,2,Unit,,
,Kursi Susun Futura Hitam,,1,,Baik,,R. 217,2,Unit,,
,Kursi Susun Futura Hitam,,1,,Baik,,R. 217,2,Unit,,
,Kursi Susun Futura Hitam,,1,,Baik,,R. 217,2,Unit,,
,Kursi Susun Futura Hitam,,1,,Baik,,R. 217,2,Unit,,
,Kursi Susun Futura Hitam,,1,,Baik,,R. 217,2,Unit,,
,Kursi Susun Futura Hitam,,1,,Baik,,R. 217,2,Unit,,
,Kursi Susun Futura Hitam,,1,,Baik,,R. 217,2,Unit,,
,Kursi Susun Futura Hitam,,1,,Baik,,R. 217,2,Unit,,
,Kursi Susun Futura Hitam,,1,,Baik,,R. 217,2,Unit,,
,Kursi Kuliah,,1,18,Baik,,R. 217,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 217,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 217,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 217,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 217,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 217,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 217,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 217,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 217,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 217,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 217,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 217,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 217,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 217,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 217,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 217,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 217,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 217,2,Unit,,
,,,,,,,,,,,
,AC Split,,1,1,Baik,,R. 218,2,Unit,,
,TV LG Sedang,,1,1,Baik,,R. 218,2,Unit,,
,Stand TV,,1,1,Baik,,R. 218,2,Unit,,
,Papan Tulis Putih,,1,1,Baik,,R. 218,2,Unit,,
,Karpet Hitam,,,,Baik,,R. 218,2,Unit,,
,Kursi Kuliah,,1,9,Baik,,R. 218,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 218,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 218,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 218,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 218,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 218,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 218,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 218,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 218,2,Unit,,
,,,,,,,,,,,
,AC Split,,1,1,Baik,,R. 219,2,Unit,,
,Kursi Kuliah,,1,5,Baik,,R. 219,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 219,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 219,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 219,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 219,2,Unit,,
,Meja,,1,1,Baik,,R. 219,2,Unit,,
,Kursi Kantor Tanpa Sandaran Tangan,,1,1,Baik,,R. 219,2,Unit,,
,,,,,,,,,,,
,AC Split,,,,Baik,,R. 220,2,Unit,,
,Papan Tulis Putih,,,,Baik,,R. 220,2,Unit,,
,Kursi Kuliah,,1,10,Baik,,R. 220,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 220,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 220,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 220,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 220,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 220,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 220,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 220,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 220,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 220,2,Unit,,
,Kulkas Kecil Sharp,,1,1,Baik,,R. 220,2,Unit,,
,Rak Stainlis Susun 2,,1,1,Baik,,R. 220,2,Unit,,
,Tangga Rehabilitasi,,1,2,Baik,,R. 220,2,Unit,,
,Tangga Rehabilitasi,,1,,Baik,,R. 220,2,Unit,,
,Laci Kayu Kecil,,1,1,Baik,,R. 220,2,Unit,,
,Laci Mini,,1,1,Baik,,R. 220,2,Unit,,
,Tempat P3K,,1,1,Baik,,R. 220,2,Unit,,
,Tempat Sampah Mini,,1,1,Baik,,R. 220,2,Unit,,
,,,,,,,,,,,
,AC Split,,1,1,Baik,,R. 221,2,Unit,,
,Kursi Kuliah,,1,5,Baik,,R. 221,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 221,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 221,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 221,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 221,2,Unit,,
,Meja,,1,1,Baik,,R. 221,2,Unit,,
,Kursi Kantor Tanpa Sandaran Tangan,,1,1,Baik,,R. 221,2,Unit,,
,,,,,,,,,,,
,AC Split,,1,1,Baik,,R. 222,2,Unit,,
,Kursi Kuliah,,1,27,Baik,,R. 222,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 222,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 222,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 222,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 222,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 222,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 222,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 222,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 222,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 222,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 222,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 222,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 222,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 222,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 222,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 222,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 222,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 222,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 222,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 222,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 222,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 222,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 222,2,Unit,,
,Kursi Warna Merah,,1,1,Baik,,R. 222,2,Unit,,
,Meja Lipat Biru,,1,1,Baik,,R. 222,2,Unit,,
,,,,,,,,,,,
,AC Split,,1,1,Baik,,R. 223,2,Unit,,
,Kursi Kuliah,,1,5,Baik,,R. 223,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 223,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 223,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 223,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 223,2,Unit,,
,Meja,,1,1,Baik,,R. 223,2,Unit,,
,Kursi Kantor Tanpa Sandaran Tangan,,1,1,Baik,,R. 223,2,Unit,,
,,,,,,,,,,,
,AC Split,,1,1,Baik,,R. 224,2,Unit,,
,Kursi Kuliah,,1,27,Baik,,R. 224,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 224,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 224,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 224,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 224,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 224,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 224,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 224,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 224,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 224,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 224,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 224,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 224,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 224,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 224,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 224,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 224,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 224,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 224,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 224,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 224,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 224,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 224,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 224,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 224,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 224,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 224,2,Unit,,
,Box Motorik,,1,,Baik,,R. 224,2,Unit,,
,Bed Portable Massage Hitam,,1,,Baik,,R. 224,2,Unit,,
,Papan Tulis Putih,,1,,Baik,,R. 224,2,Unit,,
,,,,,,,,,,,
,AC Split,,1,1,Baik,,R. 225,2,Unit,,
,Kursi Kuliah,,1,6,Baik,,R. 225,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 225,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 225,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 225,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 225,2,Unit,,
,Kursi Kuliah,,1,,Baik,,R. 225,2,Unit,,
,Meja,,1,1,Baik,,R. 225,2,Unit,,
,Kursi Kantor Tanpa Sandaran Tangan,,1,1,Baik,,R. 225,2,Unit,,
,,,,,,,,,,,
,Meja Kayu,,,,Baik,,Luar Ruangan,2,Unit,,
,Kursi Kayu,,1,2,Baik,,Luar Ruangan,2,Unit,,
,Kursi Kayu,,1,,Baik,,Luar Ruangan,2,Unit,,
,Kursi Merah,,1,1,Baik,,Luar Ruangan,2,Unit,,
,Kursi Kuliah,,1,3,Baik,,Luar Ruangan,2,Unit,,
,Kursi Kuliah,,1,,Baik,,Luar Ruangan,2,Unit,,
,Kursi Kuliah,,1,,Baik,,Luar Ruangan,2,Unit,,
,Kursi Kuliah Tanpa Meja,,1,1,Baik,,Luar Ruangan,2,Unit,,
,X-Banner,,1,1,Baik,,Luar Ruangan,2,Unit,,
,Tempat Sampah Biru,,1,1,Baik,,Luar Ruangan,2,Unit,,
,Tempat Sampah Besar Kuning,,1,1,Baik,,Luar Ruangan,2,Unit,,
,Appar,,1,1,Baik,,Luar Ruangan,2,Unit,,
,Meja Tenis,,1,1,Baik,,Luar Ruangan,2,Unit,,
,Stand Unis Bisnis,,1,1,Baik,,Luar Ruangan,2,Paket,,
,Backdrop SERC,,1,1,Baik,,Luar Ruangan,2,Paket,,
